student_id,student_code,first_name,last_name,date_of_birth,school_code,school_name
10001,STU-0001,Linda,Martin,2006-08-27,SCH-005,Capital High
10002,STU-0002,Joseph,Johnson,2009-03-09,SCH-020,Elmwood High
10003,STU-0003,James,Brown,2011-01-25,SCH-018,Sunnydale High
10004,STU-0004,Robert,Martinez,2011-04-12,SCH-014,Oakdale High
10005,STU-0005,Jessica,Moore,2005-05-10,SCH-006,Westport High
10006,STU-0006,David,Taylor,2011-06-15,SCH-011,Lakeside High
10007,STU-0007,Mary,Smith,2009-03-25,SCH-013,Millbrook High
10008,STU-0008,Mary,Johnson,2008-01-17,SCH-001,Springfield High
10009,STU-0009,Jennifer,Gonzalez,2009-01-10,SCH-008,Hillwood High
10010,STU-0010,Thomas,Brown,2009-10-26,SCH-001,Springfield High
10011,STU-0011,Sarah,Lopez,2006-07-25,SCH-002,Shelbyville High
10012,STU-0012,Elizabeth,Martinez,2011-05-09,SCH-010,Kingsport High
10013,STU-0013,Richard,Taylor,2012-11-02,SCH-014,Oakdale High
10014,STU-0014,David,Brown,2006-03-10,SCH-018,Sunnydale High
10015,STU-0015,Linda,Smith,2007-06-10,SCH-014,Oakdale High
10016,STU-0016,Susan,Moore,2005-06-07,SCH-019,Crestwood High
10017,STU-0017,Jennifer,Garcia,2008-06-27,SCH-013,Millbrook High
10018,STU-0018,Michael,Anderson,2010-05-23,SCH-009,Fairview High
10019,STU-0019,Barbara,Jones,2007-10-12,SCH-002,Shelbyville High
10020,STU-0020,Jessica,Moore,2009-09-24,SCH-011,Lakeside High
10021,STU-0021,Elizabeth,Jackson,2006-02-07,SCH-018,Sunnydale High
10022,STU-0022,William,Williams,2007-04-13,SCH-001,Springfield High
10023,STU-0023,James,Wilson,2011-04-24,SCH-011,Lakeside High
10024,STU-0024,Robert,Miller,2006-01-10,SCH-019,Crestwood High
10025,STU-0025,William,Anderson,2006-04-16,SCH-008,Hillwood High
10026,STU-0026,Linda,Jackson,2006-12-19,SCH-010,Kingsport High
10027,STU-0027,Mary,Thomas,2012-06-17,SCH-006,Westport High
10028,STU-0028,Karen,Martinez,2009-02-12,SCH-001,Springfield High
10029,STU-0029,Patricia,Rodriguez,2007-03-07,SCH-020,Elmwood High
10030,STU-0030,Charles,Rodriguez,2007-05-25,SCH-017,Fernwood High
10031,STU-0031,William,Johnson,2005-02-03,SCH-004,NorthHaverbrook High
10032,STU-0032,Susan,Hernandez,2011-12-27,SCH-020,Elmwood High
10033,STU-0033,Karen,Hernandez,2005-08-21,SCH-010,Kingsport High
10034,STU-0034,William,Miller,2009-11-14,SCH-008,Hillwood High
10035,STU-0035,Jennifer,Martinez,2009-07-06,SCH-004,NorthHaverbrook High
10036,STU-0036,David,Taylor,2007-02-25,SCH-012,Riverdale High
10037,STU-0037,Mary,Anderson,2009-11-23,SCH-003,Ogdenville High
10038,STU-0038,Joseph,Lopez,2010-06-15,SCH-009,Fairview High
10039,STU-0039,Joseph,Rodriguez,2007-12-13,SCH-014,Oakdale High
10040,STU-0040,Karen,Anderson,2011-01-26,SCH-004,NorthHaverbrook High
10041,STU-0041,John,Moore,2007-06-22,SCH-006,Westport High
10042,STU-0042,Michael,Martin,2009-07-23,SCH-007,Ridgemont High
10043,STU-0043,Sarah,Garcia,2012-06-02,SCH-018,Sunnydale High
10044,STU-0044,Thomas,Johnson,2005-06-15,SCH-009,Fairview High
10045,STU-0045,Robert,Johnson,2012-03-18,SCH-007,Ridgemont High
10046,STU-0046,Jennifer,Williams,2012-03-24,SCH-011,Lakeside High
10047,STU-0047,Sarah,Martinez,2007-11-03,SCH-018,Sunnydale High
10048,STU-0048,William,Gonzalez,2005-03-25,SCH-020,Elmwood High
10049,STU-0049,Karen,Jones,2011-07-21,SCH-009,Fairview High
10050,STU-0050,Karen,Rodriguez,2011-10-24,SCH-011,Lakeside High
10051,STU-0051,Mary,Jones,2006-07-25,SCH-002,Shelbyville High
10052,STU-0052,Richard,Williams,2011-07-02,SCH-018,Sunnydale High
10053,STU-0053,Susan,Garcia,2005-01-05,SCH-017,Fernwood High
10054,STU-0054,Karen,Rodriguez,2008-01-09,SCH-012,Riverdale High
10055,STU-0055,Mary,Jones,2008-08-25,SCH-007,Ridgemont High
10056,STU-0056,David,Miller,2009-09-20,SCH-019,Crestwood High
10057,STU-0057,Mary,Jackson,2008-02-22,SCH-006,Westport High
10058,STU-0058,Sarah,Jackson,2011-12-07,SCH-002,Shelbyville High
10059,STU-0059,Patricia,Gonzalez,2010-03-15,SCH-015,Brookfield High
10060,STU-0060,Sarah,Rodriguez,2010-04-28,SCH-006,Westport High
10061,STU-0061,Charles,Jones,2012-01-09,SCH-018,Sunnydale High
10062,STU-0062,Jessica,Rodriguez,2005-07-11,SCH-010,Kingsport High
10063,STU-0063,Jennifer,Lopez,2012-11-22,SCH-011,Lakeside High
10064,STU-0064,Elizabeth,Martinez,2007-04-21,SCH-018,Sunnydale High
10065,STU-0065,Jessica,Moore,2011-01-13,SCH-001,Springfield High
10066,STU-0066,William,Johnson,2012-05-23,SCH-012,Riverdale High
10067,STU-0067,Thomas,Brown,2006-08-04,SCH-016,Greendale High
10068,STU-0068,Susan,Anderson,2010-02-06,SCH-014,Oakdale High
10069,STU-0069,Linda,Davis,2006-10-27,SCH-015,Brookfield High
10070,STU-0070,James,Martinez,2007-02-06,SCH-008,Hillwood High
10071,STU-0071,Karen,Jackson,2011-02-15,SCH-017,Fernwood High
10072,STU-0072,John,Garcia,2005-07-02,SCH-005,Capital High
10073,STU-0073,Thomas,Wilson,2006-07-13,SCH-012,Riverdale High
10074,STU-0074,Patricia,Thomas,2006-09-07,SCH-014,Oakdale High
10075,STU-0075,Susan,Smith,2010-02-18,SCH-018,Sunnydale High
10076,STU-0076,Barbara,Lopez,2007-04-01,SCH-016,Greendale High
10077,STU-0077,Barbara,Thomas,2006-12-28,SCH-016,Greendale High
10078,STU-0078,Sarah,Miller,2010-11-25,SCH-003,Ogdenville High
10079,STU-0079,Elizabeth,Jones,2007-02-12,SCH-012,Riverdale High
10080,STU-0080,Michael,Anderson,2007-04-12,SCH-012,Riverdale High
10081,STU-0081,Patricia,Davis,2005-11-11,SCH-017,Fernwood High
10082,STU-0082,Patricia,Gonzalez,2005-09-13,SCH-020,Elmwood High
10083,STU-0083,Mary,Williams,2010-07-28,SCH-007,Ridgemont High
10084,STU-0084,Robert,Gonzalez,2011-10-16,SCH-009,Fairview High
10085,STU-0085,Linda,Garcia,2005-05-21,SCH-018,Sunnydale High
10086,STU-0086,Elizabeth,Taylor,2010-04-08,SCH-009,Fairview High
10087,STU-0087,Susan,Garcia,2012-06-14,SCH-013,Millbrook High
10088,STU-0088,Sarah,Williams,2006-06-07,SCH-004,NorthHaverbrook High
10089,STU-0089,Mary,Martinez,2010-03-13,SCH-007,Ridgemont High
10090,STU-0090,Linda,Thomas,2006-11-16,SCH-008,Hillwood High
10091,STU-0091,Michael,Garcia,2007-06-06,SCH-005,Capital High
10092,STU-0092,Thomas,Anderson,2007-03-11,SCH-001,Springfield High
10093,STU-0093,Thomas,Jackson,2006-10-01,SCH-004,NorthHaverbrook High
10094,STU-0094,Sarah,Taylor,2007-07-09,SCH-001,Springfield High
10095,STU-0095,James,Anderson,2009-01-28,SCH-014,Oakdale High
10096,STU-0096,Michael,Gonzalez,2011-05-08,SCH-013,Millbrook High
10097,STU-0097,Robert,Jackson,2011-03-22,SCH-016,Greendale High
10098,STU-0098,Patricia,Lopez,2008-03-11,SCH-005,Capital High
10099,STU-0099,John,Davis,2011-04-26,SCH-012,Riverdale High
10100,STU-0100,Susan,Moore,2009-09-06,SCH-012,Riverdale High
10101,STU-0101,Linda,Johnson,2009-07-13,SCH-016,Greendale High
10102,STU-0102,Richard,Johnson,2012-11-03,SCH-016,Greendale High
10103,STU-0103,Richard,Davis,2009-03-26,SCH-009,Fairview High
10104,STU-0104,James,Jackson,2011-09-23,SCH-006,Westport High
10105,STU-0105,Patricia,Martinez,2011-02-11,SCH-007,Ridgemont High
10106,STU-0106,Thomas,Jackson,2010-10-18,SCH-011,Lakeside High
10107,STU-0107,Susan,Thomas,2011-06-15,SCH-011,Lakeside High
10108,STU-0108,David,Miller,2006-02-18,SCH-014,Oakdale High
10109,STU-0109,Karen,Davis,2009-07-22,SCH-013,Millbrook High
10110,STU-0110,Charles,Lopez,2009-09-12,SCH-011,Lakeside High
10111,STU-0111,William,Thomas,2011-07-28,SCH-007,Ridgemont High
10112,STU-0112,Michael,Hernandez,2012-10-23,SCH-008,Hillwood High
10113,STU-0113,Jessica,Martinez,2007-04-08,SCH-010,Kingsport High
10114,STU-0114,David,Martin,2011-09-24,SCH-011,Lakeside High
10115,STU-0115,Jennifer,Brown,2005-09-15,SCH-001,Springfield High
10116,STU-0116,Sarah,Anderson,2011-08-16,SCH-005,Capital High
10117,STU-0117,Barbara,Jackson,2006-08-15,SCH-005,Capital High
10118,STU-0118,Charles,Johnson,2005-11-19,SCH-012,Riverdale High
10119,STU-0119,Jessica,Moore,2005-10-26,SCH-017,Fernwood High
10120,STU-0120,Joseph,Rodriguez,2009-04-20,SCH-013,Millbrook High
10121,STU-0121,John,Rodriguez,2005-02-19,SCH-006,Westport High
10122,STU-0122,Linda,Martin,2009-03-19,SCH-008,Hillwood High
10123,STU-0123,Elizabeth,Brown,2009-06-15,SCH-016,Greendale High
10124,STU-0124,Barbara,Jones,2006-09-02,SCH-004,NorthHaverbrook High
10125,STU-0125,Thomas,Williams,2008-10-07,SCH-011,Lakeside High
10126,STU-0126,Joseph,Taylor,2012-01-13,SCH-001,Springfield High
10127,STU-0127,Michael,Gonzalez,2012-08-04,SCH-009,Fairview High
10128,STU-0128,Karen,Wilson,2005-10-20,SCH-002,Shelbyville High
10129,STU-0129,Barbara,Moore,2008-02-22,SCH-005,Capital High
10130,STU-0130,Barbara,Thomas,2006-12-21,SCH-007,Ridgemont High
10131,STU-0131,Sarah,Hernandez,2012-01-26,SCH-005,Capital High
10132,STU-0132,Jessica,Rodriguez,2006-10-19,SCH-019,Crestwood High
10133,STU-0133,Susan,Brown,2007-11-12,SCH-008,Hillwood High
10134,STU-0134,Susan,Johnson,2007-09-03,SCH-010,Kingsport High
10135,STU-0135,Karen,Garcia,2007-07-06,SCH-016,Greendale High
10136,STU-0136,Michael,Lopez,2010-01-08,SCH-011,Lakeside High
10137,STU-0137,James,Johnson,2009-06-17,SCH-003,Ogdenville High
10138,STU-0138,Richard,Hernandez,2011-04-08,SCH-004,NorthHaverbrook High
10139,STU-0139,Linda,Taylor,2006-02-22,SCH-017,Fernwood High
10140,STU-0140,Karen,Gonzalez,2006-02-21,SCH-005,Capital High
10141,STU-0141,Susan,Anderson,2006-08-21,SCH-011,Lakeside High
10142,STU-0142,John,Miller,2007-04-16,SCH-016,Greendale High
10143,STU-0143,David,Miller,2006-09-22,SCH-017,Fernwood High
10144,STU-0144,Joseph,Jones,2009-08-07,SCH-001,Springfield High
10145,STU-0145,Karen,Taylor,2011-05-20,SCH-009,Fairview High
10146,STU-0146,Charles,Anderson,2011-02-28,SCH-019,Crestwood High
10147,STU-0147,Elizabeth,Smith,2007-02-13,SCH-010,Kingsport High
10148,STU-0148,Jessica,Martin,2011-03-16,SCH-016,Greendale High
10149,STU-0149,Joseph,Martinez,2010-01-09,SCH-014,Oakdale High
10150,STU-0150,David,Thomas,2008-12-11,SCH-017,Fernwood High
10151,STU-0151,William,Jackson,2006-01-02,SCH-004,NorthHaverbrook High
10152,STU-0152,Elizabeth,Smith,2007-05-11,SCH-010,Kingsport High
10153,STU-0153,Sarah,Jones,2005-07-27,SCH-002,Shelbyville High
10154,STU-0154,Richard,Johnson,2006-10-25,SCH-013,Millbrook High
10155,STU-0155,Thomas,Williams,2006-12-21,SCH-002,Shelbyville High
10156,STU-0156,Joseph,Thomas,2005-06-01,SCH-010,Kingsport High
10157,STU-0157,Michael,Thomas,2009-03-05,SCH-004,NorthHaverbrook High
